label,controller,delay_frames,ego_speed_kmh,mu,trigger_d,dart_speed_kmh,avoided,collision_with,s_clearance,a_b_mfdd,t_c_warn,dv_speed_var,collision_speed_kmh,peak_decel,brake_distance,min_dist,a_req_at_brake,a_max,is_conflict,result_txt,noise_sigma_m,noise_sigma_vr,dropout_p,dropout_mode,test_mode,seed
baseline,baseline,0,20.0,0.85,20.0,20.0,True,,3.9212336866446513,3.65837067446903,1.3394593668191859,20.0,0.0,3.335400049701338,4.358844757080078,7.595415864059919,1.8043026374285156,8.3385,True,AVOIDED,0.0,0.0,0.0,freeze,original,8350000
baseline,baseline,0,20.0,0.85,25.0,20.0,True,,4.195510218845238,3.657861365625391,1.5551013235364857,20.0,0.0,3.335400049701338,4.360408782958984,7.869696242314734,1.7694600564205454,8.3385,True,AVOIDED,0.0,0.0,0.0,freeze,original,8350001
baseline,baseline,0,20.0,0.85,30.0,20.0,True,,4.195523935893825,3.6579558658285976,1.555066672630608,20.0,0.0,3.335400049701338,4.360206604003906,7.869709915739904,1.7694374691448977,8.3385,True,AVOIDED,0.0,0.0,0.0,freeze,original,8350002
baseline,baseline,0,20.0,0.85,35.0,20.0,True,,4.195510218845238,3.657861365625391,1.5551013235364857,20.0,0.0,3.335400049701338,4.360408782958984,7.869696242314734,1.7694600564205454,8.3385,True,AVOIDED,0.0,0.0,0.0,freeze,original,8350003
baseline,baseline,0,20.0,0.85,40.0,20.0,True,,4.195523929089964,3.6579558658285976,1.5550666712901509,20.0,0.0,3.335400049701338,4.360206604003906,7.869709908935939,1.7694374700495903,8.3385,True,AVOIDED,0.0,0.0,0.0,freeze,original,8350004
baseline,baseline,0,20.0,0.4,20.0,20.0,True,,0.647919945814917,2.1984337156554634,1.3386192833366588,20.0,0.0,3.924000000000003,7.634922027587891,4.322224133112738,1.8044232680391243,3.9240000000000004,True,AVOIDED,0.0,0.0,0.0,freeze,original,8350005
baseline,baseline,0,20.0,0.4,25.0,20.0,True,,0.6614408025436234,2.073211922957024,1.555066672630608,20.0,0.0,3.924000000000003,7.896842956542969,4.335744989841444,1.7694374691448977,3.9240000000000004,True,AVOIDED,0.0,0.0,0.0,freeze,original,8350006
baseline,baseline,0,20.0,0.4,30.0,20.0,True,,0.6617082938193599,2.073176507422098,1.5551013235364857,20.0,0.0,3.924000000000003,7.897087097167969,4.336012481117181,1.7694600564205454,3.9240000000000004,True,AVOIDED,0.0,0.0,0.0,freeze,original,8350007
baseline,baseline,0,20.0,0.4,35.0,20.0,True,,0.6614408025436234,2.073211922957024,1.555066672630608,20.0,0.0,3.924000000000003,7.896842956542969,4.335744989841444,1.7694374691448977,3.9240000000000004,True,AVOIDED,0.0,0.0,0.0,freeze,original,8350008
baseline,baseline,0,20.0,0.4,40.0,20.0,True,,0.661712090292303,2.073176507422098,1.5551020153361288,20.0,0.0,3.924000000000003,7.897087097167969,4.336016277590124,1.769459268433238,3.9240000000000004,True,AVOIDED,0.0,0.0,0.0,freeze,original,8350009
baseline,baseline,0,30.0,0.85,20.0,20.0,True,,3.9326650882441907,3.501718372541213,1.589240310269733,30.0,0.0,3.335400049701338,9.961448669433594,7.606969275542012,2.203696841912894,8.3385,True,AVOIDED,0.0,0.0,0.0,freeze,original,8350010
baseline,baseline,0,30.0,0.85,25.0,20.0,True,,1.4732212832962626,4.331886701944831,1.1535649608842213,30.0,0.0,8.3385,8.699321746826172,5.147472094913993,3.3316057713605907,8.3385,True,AVOIDED,0.0,0.0,0.0,freeze,original,8350011
